,Name,Sex,Team,NOC,Year,City,Sport,Event,Medal
243917,Alex Bowen,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243918,Luca Cupido,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243919,Hannes Daube,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243920,William Dodd,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243921,Ryder Dodd,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243922,Ben Hallock,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243923,Drew Holland,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243924,Johnny Hooper,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243925,Max Irving,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243926,Alex Obert,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243927,Marko Vavic,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243928,Adrian Weinberg,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243929,Dylan Woodhead,M,United States,USA,2024,Paris,Water Polo,Men,Bronze
243930,Mary Ausmus,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243931,Rachel Fattal,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243932,Jenna Flynn,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243933,Kaleigh Gilchrist,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243934,Ashleigh Johnson,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243935,Amanda Longan,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243936,Maddie Musselman,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243937,Ryann Neushul,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243938,Tara Prentice,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243939,Jordan Raney,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243940,Jewel Roemer,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243941,Maggie Steffens,F,United States,USA,2024,Paris,Water Polo,Women,No medal
243942,Jovana Sekulic,F,United States,USA,2024,Paris,Water Polo,Women,No medal
244865,Jourdan Delacruz,F,United States,USA,2024,Paris,Weightlifting,Women's 49kg,No medal
244866,Wes Kitts,M,United States,USA,2024,Paris,Weightlifting,Men's 102kg,No medal
244867,Hampton Morris,M,United States,USA,2024,Paris,Weightlifting,Men's 61kg,Bronze
244868,Olivia Reeves,F,United States,USA,2024,Paris,Weightlifting,Women's 71kg,Gold
244869,Mary Theisen,F,United States,USA,2024,Paris,Weightlifting,Women's +81kg,No medal
244885,Lauren Carlini,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244886,Andrea Drews,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244887,Micha Hancock,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244888,Jordan Larson,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244889,Chiaka Ogbogu,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244890,Kathryn Plummer,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244891,Jordyn Poulter,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244892,Dana Rettke,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244893,Kelsey Robinson,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244894,Avery Skinner,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244895,Jordan Thompson,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244896,Haleigh Washington,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244897,Justine Wong-orantes,F,United States,USA,2024,Paris,Volleyball,Women,Silver
244910,Micah Ma'a,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244911,Matthew Anderson,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244912,Taylor Averill,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244913,Micah Christenson,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244914,Torey Defalco,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244915,Kyle Ensing,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244916,Maxwell Holt,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244917,Thomas Jaeschke,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244918,Jeffrey Jendryk,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244919,Garrett Muagututia,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244920,Aaron Russell,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244921,Erik Shoji,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244922,David Smith,M,United States,USA,2024,Paris,Volleyball,Men,Bronze
244925,Andrew Benesh,M,United States,USA,2024,Paris,Beach Volleyball,Men,No medal
244926,Chase Budinger,M,United States,USA,2024,Paris,Beach Volleyball,Men,No medal
244927,Kelly Cheng,F,United States,USA,2024,Paris,Beach Volleyball,Women,No medal
