NOC,Sport,NoMedal,HasMedal,Rate
FRA,Handball,2,6,1.0
FRA,Basketball,3,5,0.8333333333333334
FRA,Judo,27,30,0.7017543859649122
FRA,Taekwondo,6,6,0.6666666666666666
FRA,Volleyball,2,2,0.6666666666666666
FRA,Cycling BMX Racing,4,3,0.5714285714285714
FRA,Rugby Sevens,3,2,0.5333333333333333
FRA,Cycling Mountain Bike,4,2,0.4444444444444444
FRA,Surfing,4,2,0.4444444444444444
FRA,3x3 Basketball,2,1,0.4444444444444444
FRA,Breaking,2,1,0.4444444444444444
FRA,Cycling BMX Freestyle,2,1,0.4444444444444444
FRA,Karate,2,1,0.4444444444444444
FRA,Boxing,19,9,0.4285714285714286
FRA,Fencing,32,15,0.425531914893617
FRA,Canoe Slalom,8,3,0.3636363636363636
FRA,Triathlon,8,3,0.3636363636363636
FRA,Equestrianism,9,3,0.3333333333333333
FRA,Sailing,30,9,0.3076923076923077
FRA,Equestrian,10,3,0.3076923076923077
FRA,Rowing,17,5,0.30303030303030304
FRA,Modern Pentathlon,7,2,0.2962962962962963
FRA,Canoeing,18,5,0.2898550724637681
FRA,Cycling Road,8,2,0.26666666666666666
FRA,Football,4,1,0.26666666666666666
FRA,Archery,13,3,0.25
FRA,Swimming,92,18,0.21818181818181817
FRA,Cycling,28,5,0.20202020202020202
FRA,Cycling Track,20,3,0.17391304347826086
FRA,Shooting,42,6,0.16666666666666666
FRA,Table Tennis,14,2,0.16666666666666666
FRA,Tennis,18,2,0.13333333333333333
FRA,Athletics,127,11,0.10628019323671496
FRA,Wrestling,12,1,0.10256410256410257
FRA,Gymnastics,24,1,0.05333333333333334
FRA,Artistic Gymnastics,22,0,0.0
FRA,Canoe Sprint,15,0,0.0
FRA,Weightlifting,15,0,0.0
FRA,Diving,14,0,0.0
FRA,Badminton,12,0,0.0
FRA,Skateboarding,8,0,0.0
FRA,Golf,6,0,0.0
FRA,Sport Climbing,6,0,0.0
FRA,Marathon Swimming,4,0,0.0
FRA,Rhythmic Gymnastics,4,0,0.0
FRA,Trampoline Gymnastics,4,0,0.0
FRA,Artistic Swimming,3,0,0.0
FRA,Trampolining,3,0,0.0
FRA,Water Polo,3,0,0.0
FRA,Beach Volleyball,2,0,0.0
FRA,"Cycling Road, Cycling Track",2,0,0.0
FRA,Hockey,2,0,0.0
FRA,Synchronized Swimming,2,0,0.0
