Country,Medal_2028,Medal_2024,Diff,Probability
USA,127.63967,122,5.639669999999995,0.5351302239506832
UKR,13.089783,12,1.0897830000000006,0.509485176681297
THA,7.3763433,6,1.3763433000000003,0.46600179103305484
GEQ,1.7036649,0,1.7036649,0.4405735128772194
LCA,3.0147724,2,1.0147724,0.43712157433295434
MDA,5.0776,4,1.0776000000000003,0.42642830542796994
STP,2.4005108,0,2.4005108,0.4008857897472091
FSM,1.6041808,0,1.6041808,0.39924796362936465
WIF,2.6816247,0,2.6816247,0.38923615378593523
EOR,3.7190514,1,2.7190514,0.38755800614777336
VAN,2.1453943,0,2.1453943,0.3793635755126966
IND,7.015322,6,1.0153220000000003,0.37785359549921493
UZB,11.613587,13,-1.3864129999999992,0.3760786642383022
CMR,2.879549,0,2.879549,0.37491291865604837
IRL,6.6043363,5,1.6043363,0.36881678879456165
CAM,2.6592388,0,2.6592388,0.3670184363494188
ARM,7.9260955,4,3.9260954999999997,0.36246124667509416
GRE,10.147825,8,2.147824999999999,0.3591117409898841
COD,2.9463968,0,2.9463968,0.3580732212654809
SWZ,3.7915125,0,3.7915125,0.3575491876633094
GUM,4.149608,0,4.149608,0.3475518051015607
NED,32.88036,34,-1.1196399999999969,0.3473461078640006
AZE,11.496133,7,4.496133,0.34647505405922896
ASA,1.715391,0,1.715391,0.3447249904562689
TAN,3.5972536,0,3.5972536,0.3441501922161637
PLW,3.2272842,0,3.2272842,0.3414044586728915
TKM,5.8327527,0,5.8327527,0.3388641686513322
GEO,12.380537,7,5.380537,0.3347489559613612
FIJ,6.778139,1,5.778139,0.33460305932345813
SKN,4.018856,0,4.018856,0.33450594173886405
KAZ,10.116585,7,3.1165850000000006,0.3339336039002313
BEN,4.934901,0,4.934901,0.3337361667495031
MLI,4.782164,0,4.782164,0.3335687160364421
ARU,2.9484098,0,2.9484098,0.33275713245935795
MTN,5.5300713,0,5.5300713,0.33162213040818933
VIE,3.853773,0,3.853773,0.3310836140323906
HKG,7.529336,4,3.529336,0.32935666552818044
NOR,6.923304,8,-1.076696,0.3279301356982582
MHL,4.700309,0,4.700309,0.32575604881278275
LAT,5.4182634,0,5.4182634,0.32474015320938576
KEN,8.585329,11,-2.4146710000000002,0.3221097721592815
MAR,4.6554146,2,2.6554146000000003,0.3218250714231627
BUL,5.2222667,7,-1.7777333000000004,0.31919069214831375
MAD,5.822112,0,5.822112,0.31871692835723375
TOG,4.198352,0,4.198352,0.31646106678856223
CPV,3.6334007,1,2.6334007,0.316268706476532
RSA,12.006776,6,6.006776,0.3153053662008463
INA,4.598893,3,1.5988930000000003,0.3145502883403104
GUY,3.343858,0,3.343858,0.31238398857302496
MYA,4.8552413,0,4.8552413,0.3105028610261156
ZIM,4.9537206,0,4.9537206,0.30817020461242484
ISL,5.5395117,0,5.5395117,0.30585675874740537
KSA,4.5303307,0,4.5303307,0.30311720772439
NRU,10.473469,0,10.473469,0.30198319182871763
MGL,7.40775,1,6.40775,0.30114436958636576
ERI,4.2911205,0,4.2911205,0.29972463671081745
MEX,9.547044,5,4.547044,0.29971304829606277
CUB,12.926729,9,3.926729,0.29901055947774036
CHI,10.259284,2,8.259284,0.2985214228026787
ALG,5.357763,3,2.3577630000000003,0.2973764371347879
CHN,95.75952,91,4.759519999999995,0.2965823500347011
BIH,5.398541,0,5.398541,0.2964595875571855
AFG,5.625317,0,5.625317,0.2956688802539327
MKD,7.640966,0,7.640966,0.2946467335367787
IRQ,3.1905518,0,3.1905518,0.2936988466655122
YAR,4.9805484,0,4.9805484,0.2924152983672662
BHU,6.0922723,0,6.0922723,0.29057459160639443
AUS,45.785156,51,-5.214843999999999,0.2887406783215702
VEN,11.066646,0,11.066646,0.2870469073748252
BRN,5.619191,4,1.6191909999999998,0.2869962727181854
TCH,3.0536351,0,3.0536351,0.2839834802495782
YMD,7.804116,0,7.804116,0.2814364277928372
YEM,4.5748744,0,4.5748744,0.2809776026439016
CAY,5.507596,0,5.507596,0.2789677037516949
EGY,7.908159,3,4.908159,0.2786459150289003
BER,5.4546075,0,5.4546075,0.2778437506527261
LES,2.942419,0,2.942419,0.27710710608800726
LAO,4.934794,0,4.934794,0.2766906882364386
AHO,4.444825,0,4.444825,0.27639360959720105
