Country,Medal_2028,Medal_2024,Diff,Probability
USA,127.63967,122,5.639669999999995,0.6357795028716058
MDA,5.0776,4,1.0776000000000003,0.4838573912000197
UKR,13.089783,12,1.0897830000000006,0.4665605827400163
IND,7.015322,6,1.0153220000000003,0.45790476427011584
GEQ,1.7036649,0,1.7036649,0.4186865466099481
INA,4.598893,3,1.5988930000000003,0.4172202276902376
ASA,1.715391,0,1.715391,0.39872567257805114
THA,7.3763433,6,1.3763433000000003,0.3929979195437911
IRL,6.6043363,5,1.6043363,0.39294164918632424
UZB,11.613587,13,-1.3864129999999992,0.39165682819513503
BUL,5.2222667,7,-1.7777333000000004,0.3898951524285442
CPV,3.6334007,1,2.6334007,0.3816894315329591
EOR,3.7190514,1,2.7190514,0.3769933405050683
SOL,2.944358,0,2.944358,0.3702241686177754
KAZ,10.116585,7,3.1165850000000006,0.3697755178571381
ALG,5.357763,3,2.3577630000000003,0.3659519502553591
TUN,5.980419,3,2.9804190000000004,0.365892751567355
CAM,2.6592388,0,2.6592388,0.3653377235600981
KIR,3.3989208,0,3.3989208,0.36475611517854145
SRI,2.9727688,0,2.9727688,0.36468685375703014
IOA,3.6930575,0,3.6930575,0.36303239667826104
ROT,3.8518448,0,3.8518448,0.36231590268821223
ARU,2.9484098,0,2.9484098,0.3623120713412281
NOR,6.923304,8,-1.076696,0.36165626709796095
KOR,28.388624,32,-3.611376,0.3597140630937532
ETH,8.367243,4,4.367243,0.3566029413467431
YUG,3.9016926,0,3.9016926,0.3548843073809209
CHA,4.7060285,0,4.7060285,0.350989848667808
WIF,2.6816247,0,2.6816247,0.35006965512380206
ARM,7.9260955,4,3.9260954999999997,0.348295476723609
SWZ,3.7915125,0,3.7915125,0.3470850258749728
TUV,4.3374968,0,4.3374968,0.34622591641338185
GRE,10.147825,8,2.147824999999999,0.34415306889028435
DMA,3.1568866,1,2.1568866,0.34373563743704905
AUS,45.785156,51,-5.214843999999999,0.3430683518448976
SMR,5.1357665,0,5.1357665,0.3428264572532791
SUR,5.3567944,0,5.3567944,0.342218306031009
MLT,5.2506375,0,5.2506375,0.3420655026157789
NFL,4.693881,0,4.693881,0.3416337769596524
BEL,4.614917,9,-4.385083,0.3415113290233873
PER,5.869304,1,4.869304,0.34078880163320124
SLO,6.883739,3,3.8837390000000003,0.3399137682347092
BIH,5.398541,0,5.398541,0.3398112986402295
GBS,6.1576314,0,6.1576314,0.3383760261565377
SUD,4.820504,0,4.820504,0.3382738770955127
CYP,6.2049513,1,5.2049513,0.33768336882371863
AIN,7.8211107,5,2.8211107,0.3371809085682741
MRI,5.9819407,0,5.9819407,0.33642509225796313
PNG,2.904624,0,2.904624,0.33456430595623676
NAM,5.420846,0,5.420846,0.3342247592316512
MON,4.8302674,0,4.8302674,0.3341641908035023
AFG,5.625317,0,5.625317,0.3338714474201516
AND,6.713667,0,6.713667,0.3323605004138276
VIE,3.853773,0,3.853773,0.33219381180541446
SAM,5.285513,0,5.285513,0.3316614218815177
LCA,3.0147724,2,1.0147724,0.33053397199625806
FIN,5.5549846,0,5.5549846,0.3303365832820574
ISV,5.7201843,0,5.7201843,0.32880973354903725
NIG,6.0910053,0,6.0910053,0.3256016070022718
MKD,7.640966,0,7.640966,0.32518054623384407
BAR,5.1983695,0,5.1983695,0.3251342632741471
SWE,15.559747,11,4.559747,0.32452564965275077
NED,32.88036,34,-1.1196399999999969,0.3208613125226281
EUN,4.5973973,0,4.5973973,0.3195309762752294
GDR,6.8850513,0,6.8850513,0.3178204978305632
ZAM,12.730554,1,11.730554,0.3160921603315963
GBR,71.170494,62,9.170494000000005,0.3159328091886744
JPN,43.082916,45,-1.9170840000000027,0.3147405201641344
DEN,14.31293,9,5.31293,0.31465358855167747
SEY,5.3845525,0,5.3845525,0.3144247711772396
MAW,4.5812945,0,4.5812945,0.31433877971937185
