Country,Medal
CHN,121.75952
USA,108.63967
GBR,71.170494
GER,54.451714
FRA,51.182823
AUS,45.785156
JPN,43.082916
RUS,32.935474
NED,32.88036
KOR,28.388624
ITA,28.116053
ESP,25.589056
ROC,20.931313
NZL,20.65757
SRB,19.279636
TUR,19.267885
HUN,18.325958
BRA,17.776571
POL,17.43052
CZE,16.673897
CRO,16.148727
SWE,15.559747
CAN,14.7242985
DEN,14.31293
AUT,13.6234255
UKR,13.089783
CUB,12.926729
ZAM,12.730554
GEO,12.380537
RSA,12.006776
GRN,11.719516
UZB,11.613587
AZE,11.496133
IRI,11.449891
PUR,11.365012
MAS,11.243677
TPE,11.181104
DOM,11.177666
VEN,11.066646
JAM,11.042134
NRU,10.473469
MOZ,10.325322
CHI,10.259284
GRE,10.147825
KAZ,10.116585
SVK,9.6983385
MEX,9.547044
PRK,9.282559
BOT,8.9878435
SCG,8.987766
TJK,8.84333
ARG,8.686244
CIV,8.673519
ECU,8.668455
ROU,8.610491
KEN,8.585329
EST,8.395008
ETH,8.367243
BAH,8.190085
KOS,8.125468
MDV,8.043265
BLR,8.006367
ARM,7.9260955
EGY,7.908159
AIN,7.8211107
YMD,7.804116
MKD,7.640966
NGR,7.628061
HKG,7.529336
LUX,7.477203
SUI,7.434081
MGL,7.40775
THA,7.3763433
BAN,7.308185
UGA,7.1586466
IND,7.015322
MNE,7.0127463
BOH,6.9327874
NOR,6.923304
GDR,6.8850513
SLO,6.883739
LBN,6.8637695
FIJ,6.778139
AND,6.713667
GUA,6.6855907
ESA,6.6100974
IRL,6.6043363
KGZ,6.547238
RHO,6.5052676
ISR,6.499339
KUW,6.40427
CGO,6.382939
SLE,6.3153462
BRU,6.3127565
CYP,6.2049513
GBS,6.1576314
SEN,6.1505675
NEP,6.138166
MAL,6.1307964
GHA,6.098434
BHU,6.0922723
NIG,6.0910053
UAE,6.044543
MRI,5.9819407
TUN,5.980419
SAA,5.9254203
PAN,5.9099846
PER,5.869304
SYR,5.846384
TKM,5.8327527
MAD,5.822112
ANT,5.751155
ISV,5.7201843
LIE,5.66208
TGA,5.6253624
AFG,5.625317
BRN,5.619191
FIN,5.5549846
ISL,5.5395117
MTN,5.5300713
ANZ,5.5108294
CAY,5.507596
BER,5.4546075
NAM,5.420846
LAT,5.4182634
QAT,5.4064336
BIH,5.398541
SEY,5.3845525
LIB,5.363983
ALG,5.357763
SUR,5.3567944
JOR,5.35215
SAM,5.285513
MLT,5.2506375
URS,5.249721
BUL,5.2222667
SOM,5.2170315
BAR,5.1983695
HAI,5.1761904
VNM,5.168279
SMR,5.1357665
MDA,5.0776
GUI,5.0616345
UNK,5.051492
ALB,5.0335364
COL,4.98296
YAR,4.9805484
ZIM,4.9537206
BEN,4.934901
LAO,4.934794
GAB,4.9242663
SGP,4.8860307
MYA,4.8552413
PLE,4.839128
MON,4.8302674
SUD,4.820504
TTO,4.800479
MLI,4.782164
VIN,4.7700763
PAR,4.7280297
CHA,4.7060285
PHI,4.705172
MHL,4.700309
NFL,4.693881
MAR,4.6554146
BEL,4.614917
INA,4.598893
EUN,4.5973973
MAW,4.5812945
YEM,4.5748744
KSA,4.5303307
FRG,4.517924
DJI,4.5082026
AHO,4.444825
BDI,4.385676
SSD,4.3727856
OMA,4.3388925
TUV,4.3374968
COM,4.310092
ERI,4.2911205
PAK,4.2906084
LTU,4.233017
URU,4.210235
TLS,4.2053256
TOG,4.198352
CAF,4.155505
GUM,4.149608
CRC,4.05203
NCA,4.0207076
SKN,4.018856
POR,3.9652486
YUG,3.9016926
HON,3.8574839
VIE,3.853773
ROT,3.8518448
SWZ,3.7915125
BUR,3.733753
IVB,3.7274592
COK,3.7219212
EOR,3.7190514
IOA,3.6930575
CPV,3.6334007
TAN,3.5972536
UAR,3.5828395
RWA,3.4819603
LBR,3.4553409
KIR,3.3989208
BIZ,3.3939445
GUY,3.343858
ANG,3.3299713
PLW,3.2272842
IRQ,3.1905518
DMA,3.1568866
TCH,3.0536351
LCA,3.0147724
SRI,2.9727688
ARU,2.9484098
COD,2.9463968
SOL,2.944358
LES,2.942419
BOL,2.9077957
NBO,2.9063013
PNG,2.904624
CMR,2.879549
GAM,2.8251696
WIF,2.6816247
CAM,2.6592388
LBA,2.4824882
STP,2.4005108
VAN,2.1453943
ASA,1.715391
GEQ,1.7036649
FSM,1.6041808
