Country,Medal,Lower,Upper
USA,44.444077,42.70807244479784,47.840074037300056
CHN,47.039205,45.303200444797845,50.43520203730006
UZB,36.83353,35.097525444797846,40.22952703730006
HUN,23.945463,22.209458444797843,27.341460037300052
AUS,18.478426,16.74242144479784,21.874423037300055
SWE,17.591583,15.855578444797843,20.987580037300056
POL,16.216322,14.480317444797844,19.612319037300054
UKR,15.373364,13.637359444797843,18.769361037300055
ZAM,14.861447,13.125442444797843,18.257444037300054
TLS,14.270818,12.534813444797843,17.666815037300054
COL,13.88774,12.151735444797843,17.283737037300057
RUS,13.41953,11.683525444797842,16.815527037300054
MDV,11.713591,9.977586444797842,15.109588037300053
SLO,10.922876,9.186871444797843,14.318873037300055
SMR,10.911498,9.175493444797842,14.307495037300054
MON,10.836742,9.100737444797842,14.232739037300053
GER,10.565771,8.829766444797842,13.961768037300054
PRK,10.562844,8.826839444797843,13.958841037300054
CRC,10.546197,8.810192444797842,13.942194037300053
BOL,10.41215,8.676145444797843,13.808147037300055
IRQ,10.215989,8.479984444797843,13.611986037300055
DJI,9.763606,8.027601444797842,13.159603037300053
SUD,9.544782,7.808777444797842,12.940779037300054
AIN,9.216669,7.480664444797842,12.612666037300054
BUL,8.896508,7.160503444797843,12.292505037300055
GHA,8.776562,7.040557444797843,12.172559037300054
BEL,8.676352,6.940347444797842,12.072349037300054
ALB,8.600321,6.864316444797842,11.996318037300053
GBS,8.065969,6.329964444797843,11.461966037300055
TUN,7.8648906,6.128886044797843,11.260887637300055
NCA,7.8275867,6.091582144797844,11.223583737300054
OMA,7.735849,5.9998444447978425,11.131846037300054
SKN,7.5280943,5.792089744797844,10.924091337300055
VEN,7.5024934,5.766488844797843,10.898490437300055
MAR,7.431196,5.6951914447978425,10.827193037300054
ARU,7.0233603,5.287355744797843,10.419357337300054
SUR,6.981143,5.245138444797844,10.377140037300055
PNG,6.813153,5.077148444797842,10.209150037300054
TUV,6.6781244,4.942119844797842,10.074121437300054
KOS,6.6042023,4.868197744797843,10.000199337300053
RSA,6.509936,4.773931444797842,9.905933037300054
BER,6.5055323,4.769527744797843,9.901529337300055
BOT,6.4671164,4.731111844797843,9.863113437300054
MDA,6.3510437,4.6150391447978425,9.747040737300054
TUR,6.343203,4.607198444797843,9.739200037300055
ETH,6.312222,4.576217444797843,9.708219037300054
PUR,6.2594166,4.523412044797842,9.655413637300054
HAI,6.182933,4.446928444797843,9.578930037300054
YEM,6.1796393,4.443634744797842,9.575636337300054
TOG,6.088524,4.352519444797842,9.484521037300054
KSA,6.078661,4.342656444797843,9.474658037300054
SGP,6.076655,4.340650444797843,9.472652037300055
ROU,6.024379,4.288374444797842,9.420376037300054
GRE,2.007844,0.27183944479784294,5.4038410373000545
CRO,6.0075893,4.271584744797844,9.403586337300055
SEN,5.9957123,4.2597077447978435,9.391709337300053
AUT,5.9852858,4.249281244797842,9.381282837300054
VIN,5.9059286,4.169924044797844,9.301925637300055
LAO,5.70289,3.966885444797843,9.098887037300054
KEN,5.648912,3.912907444797843,9.044909037300055
GUY,5.5773964,3.8413918447978426,8.973393437300054
YUG,5.5424466,3.806442044797843,8.938443637300054
MRI,5.417049,3.6810444447978425,8.813046037300055
NOR,5.4002876,3.6642830447978434,8.796284637300054
TAN,5.271127,3.535122444797843,8.667124037300054
FIN,5.19655,3.460545444797843,8.592547037300054
GUI,5.0628066,3.326802044797843,8.458803637300054
BEN,5.022304,3.286299444797843,8.418301037300054
MLI,5.010892,3.274887444797843,8.406889037300054
PHI,4.9568157,3.220811144797843,8.352812737300054
GUA,4.9444823,3.2084777447978428,8.340479337300053
RWA,4.9136057,3.1776011447978427,8.309602737300054
SAA,4.776038,3.0400334447978428,8.172035037300054
NGR,4.770857,3.0348524447978433,8.166854037300055
TGA,4.7009735,2.964968944797843,8.096970537300054
KUW,4.6206794,2.884674844797843,8.016676437300054
