Country,Medal,Lower,Upper
CHN,121.75952,118.11335074480867,123.07173904340479
USA,108.63967,104.99350074480867,109.95188904340478
GBR,71.170494,67.52432474480868,72.4827130434048
GER,54.451714,50.80554474480868,55.76393304340479
FRA,51.182823,47.536653744808675,52.49504204340479
AUS,45.785156,42.138986744808676,47.09737504340479
JPN,43.082916,39.43674674480867,44.395135043404785
RUS,32.935474,29.28930474480867,34.24769304340479
NED,32.88036,29.234190744808675,34.19257904340479
KOR,28.388624,24.742454744808672,29.700843043404788
ITA,28.116053,24.469883744808673,29.42827204340479
ESP,25.589056,21.94288674480867,26.901275043404787
ROC,20.931313,17.28514374480867,22.243532043404787
NZL,20.65757,17.01140074480867,21.969789043404788
SRB,19.279636,15.633466744808672,20.591855043404788
TUR,19.267885,15.621715744808672,20.580104043404788
HUN,18.325958,14.679788744808672,19.638177043404788
BRA,17.776571,14.130401744808673,19.08879004340479
POL,17.43052,13.784350744808673,18.74273904340479
CZE,16.673897,13.027727744808672,17.986116043404788
CRO,16.148727,12.502557744808673,17.46094604340479
SWE,15.559747,11.913577744808672,16.87196604340479
CAN,14.7242985,11.078129244808672,16.036517543404788
DEN,14.31293,10.666760744808672,15.625149043404788
AUT,13.6234255,9.977256244808672,14.935644543404788
UKR,13.089783,9.443613744808673,14.402002043404789
CUB,12.926729,9.280559744808672,14.238948043404788
ZAM,12.730554,9.084384744808672,14.042773043404788
GEO,12.380537,8.734367744808672,13.692756043404788
RSA,12.006776,8.360606744808672,13.318995043404788
GRN,11.719516,8.073346744808672,13.031735043404788
UZB,11.613587,7.967417744808673,12.925806043404789
AZE,11.496133,7.849963744808672,12.808352043404788
IRI,11.449891,7.803721744808671,12.762110043404787
PUR,11.365012,7.718842744808672,12.677231043404788
MAS,11.243677,7.597507744808672,12.555896043404788
TPE,11.181104,7.534934744808671,12.493323043404787
DOM,11.177666,7.531496744808672,12.489885043404788
VEN,11.066646,7.420476744808672,12.378865043404788
JAM,11.042134,7.395964744808673,12.354353043404789
NRU,10.473469,6.827299744808672,11.785688043404788
MOZ,10.325322,6.679152744808672,11.637541043404788
CHI,10.259284,6.613114744808671,11.571503043404787
GRE,10.147825,6.501655744808671,11.460044043404787
KAZ,10.116585,6.4704157448086725,11.428804043404789
SVK,9.6983385,6.052169244808672,11.010557543404788
MEX,9.547044,5.900874744808672,10.859263043404788
PRK,9.282559,5.636389744808671,10.594778043404787
BOT,8.9878435,5.341674244808672,10.300062543404788
SCG,8.987766,5.3415967448086725,10.299985043404789
TJK,8.84333,5.197160744808672,10.155549043404788
ARG,8.686244,5.040074744808672,9.998463043404788
CIV,8.673519,5.027349744808673,9.985738043404789
ECU,8.668455,5.022285744808672,9.980674043404788
ROU,8.610491,4.964321744808672,9.922710043404788
KEN,8.585329,4.939159744808672,9.897548043404788
EST,8.395008,4.748838744808673,9.707227043404789
ETH,8.367243,4.721073744808672,9.679462043404788
BAH,8.190085,4.543915744808672,9.502304043404788
KOS,8.125468,4.479298744808672,9.437687043404788
MDV,8.043265,4.397095744808672,9.355484043404788
BLR,8.006367,4.360197744808671,9.318586043404787
ARM,7.9260955,4.279926244808673,9.238314543404787
EGY,7.908159,4.261989744808673,9.22037804340479
AIN,7.8211107,4.174941444808672,9.133329743404788
YMD,7.804116,4.157946744808672,9.116335043404789
MKD,7.640966,3.994796744808672,8.953185043404787
NGR,7.628061,3.981891744808672,8.940280043404787
HKG,7.529336,3.883166744808672,8.841555043404789
LUX,7.477203,3.8310337448086726,8.789422043404787
SUI,7.434081,3.7879117448086723,8.746300043404787
MGL,7.40775,3.7615807448086724,8.719969043404788
THA,7.3763433,3.7301740448086727,8.688562343404788
BAN,7.308185,3.6620157448086723,8.620404043404788
UGA,7.1586466,3.5124773448086724,8.470865643404789
IND,7.015322,3.3691527448086727,8.32754104340479
MNE,7.0127463,3.3665770448086723,8.324965343404788
BOH,6.9327874,3.286618144808672,8.245006443404787
NOR,6.923304,3.2771347448086723,8.235523043404788
GDR,6.8850513,3.238882044808672,8.197270343404789
SLO,6.883739,3.2375697448086727,8.195958043404788
LBN,6.8637695,3.2176002448086725,8.175988543404788
FIJ,6.778139,3.1319697448086727,8.090358043404787
AND,6.713667,3.0674977448086724,8.025886043404789
GUA,6.6855907,3.039421444808672,7.997809743404788
ESA,6.6100974,2.9639281448086723,7.922316443404788
IRL,6.6043363,2.9581670448086723,7.916555343404788
KGZ,6.547238,2.9010687448086725,7.859457043404788
RHO,6.5052676,2.859098344808672,7.817486643404788
ISR,6.499339,2.8531697448086724,7.811558043404788
KUW,6.40427,2.7581007448086727,7.716489043404788
CGO,6.382939,2.7367697448086727,7.695158043404788
SLE,6.3153462,2.669176944808672,7.627565243404788
BRU,6.3127565,2.6665872448086723,7.624975543404788
CYP,6.2049513,2.5587820448086727,7.517170343404788
GBS,6.1576314,2.511462144808672,7.469850443404788
SEN,6.1505675,2.5043982448086726,7.462786543404788
NEP,6.138166,2.4919967448086724,7.450385043404788
MAL,6.1307964,2.4846271448086727,7.443015443404788
GHA,6.098434,2.4522647448086725,7.410653043404788
BHU,6.0922723,2.4461030448086727,7.404491343404788
NIG,6.0910053,2.4448360448086723,7.403224343404788
UAE,6.044543,2.3983737448086724,7.356762043404788
MRI,5.9819407,2.3357714448086724,7.294159743404788
TUN,5.980419,2.3342497448086728,7.292638043404788
SAA,5.9254203,2.2792510448086722,7.237639343404788
PAN,5.9099846,2.263815344808672,7.222203643404788
PER,5.869304,2.223134744808672,7.181523043404788
SYR,5.846384,2.200214744808672,7.158603043404788
TKM,5.8327527,2.1865834448086727,7.144971743404788
MAD,5.822112,2.175942744808672,7.134331043404788
ANT,5.751155,2.104985744808672,7.063374043404788
ISV,5.7201843,2.074015044808672,7.032403343404788
LIE,5.66208,2.015910744808672,6.974299043404788
TGA,5.6253624,1.9791931448086726,6.937581443404788
AFG,5.625317,1.9791477448086723,6.937536043404788
BRN,5.619191,1.9730217448086722,6.931410043404788
FIN,5.5549846,1.9088153448086724,6.867203643404788
ISL,5.5395117,1.8933424448086726,6.851730743404788
MTN,5.5300713,1.8839020448086727,6.842290343404788
ANZ,5.5108294,1.8646601448086728,6.823048443404788
CAY,5.507596,1.8614267448086728,6.819815043404788
