Name,Medals
Nikolay Andrianov,17
Marios Georgiou,14
Mikhail Koudinov,14
Robert Tvorogal,14
Simone Biles,13
Jos Garca,13
Svetlana Boginskaya,13
Paavo Aaltonen,12
Rebeca Andrade,12
Robert Bodley,11
Artur Davtyan,11
Antonius Bouwens,10
Agneta Andersson,10
Polina Astakhova,10
Illia Kovtun,10
Gustaf Carlberg,10
Jos Lpez,10
Lon Johnson,10
Nobuyuki Aihara,10
Edriel Yulo,10
Denis Ablyazin,9
Vitaly Shcherbo,9
Freya Anderson,9
Conrad Adriaenssens,9
Joe Fraser,9
Lukas Dauser,9
Mohamed Abdullah,9
Nikolaos Levidis,9
Nestor Abad,9
Kirsty (-seward),9
Alice D'amato,9
Beatrice Coad-claru,9
Ismail Abdallah,8
Chaopan Lin,8
Cho Hun,8
Gerard Innis,8
Walter Bach,8
Arne (-smm),8
Albert (thorvaldsen-),8
Damir Ani,8
Daiki Hashimoto,8
Alexander Jensen,8
James Allen,8
Francisco Barretto,8
Mahmoud Abdel-aal,8
Krisztofer Meszaros,8
Yuan-hsi Hung,8
Chen Yibing,8
Brody Malone,8
Milad Karimi,8
Norbert Dietrich,8
Yufei Zhang,8
Judith Arndt,8
Denis Abliazin,8
Henrik Christiansen,8
Frank Rijken,8
ngel Garca,8
Aleksandr Belanovsky,8
Annika Bruhn,8
Omar Mohamed,8
Platt Adams,8
Lorne Bobkin,8
Bandu Bhosle,8
Pernille Blume,8
Georgi Adamov,8
Arturo Amos,8
Holger Behrendt,8
Christian Baumann,8
Leon Marchand,8
Chang Hui-chien,8
Rasuljon Abdurakhimov,8
Dario Gonzlez,8
Valeri Belenki,8
Hansol Kim,8
Oleksandr Beresh,8
Andrei Abraham,8
Andreas Aguilar,8
Karl Bohusch,8
Guilherme Costa,8
Ahmed Fellat,8
Rajmond Debevec,8
Rudolf Babiak,8
Chae Gwang-seok,8
Hana (-netrefov),7
Bruno Banzer,7
Roberto Abril,7
Anton Fokin,7
Elisabeta Abrudeanu,7
Ivan Tikhonov,7
Maellyse Brassart,7
David Jessen,7
Matija Ljubek,7
David Huddleston,7
Marian (twining-),7
John Anderson,7
Rnar (ovtinnikov-),7
Georges (monnard-),7
Rene Cournoyer,7
Goran Maksimovi,7
Mun Koh,7
Xing Loo,7
Joe Kolman,7
Apostolos Christou,7
Werner Birnbaum,7
Oussama Mellouli,7
Uche Eke,7
Jos Abreu,7
Ji Fit,7
Lszl Jr.,7
David Rumbutis,7
Aleksey Nemov,7
Ng Wai,7
Ginko Abukawa-chiba,7
Ilia Giorgadze,7
Ronald Lombard,7
Per-Olof Arvidsson,7
Daniel Corral,7
Ludovico Edalli,7
Jos Bernard,7
George Bovell,7
Gerard Drakestein,7
Oksana Chusovitina,7
Francis Freitas,7
McINTOSH Summer,7
Aleksandr Popov,7
Edward Arnold,7
Istvn Aranyos,7
Aleksej Demjanov,7
Maurizio Zonzini,7
Elsabeth Black,7
Wajdi Bouallgue,7
Francisco Jnior,7
Sergio Luna,7
Edwin Billington,7
Marine Boyer,7
Aleksey Dmitriyenko,7
Vctor Ortz,7
Timo Boll,7
Chang Chao-chun,7
Lisa Carrington,7
Jessica Fox,7
Vittorio Allievi,7
Jalal Bazargan-vali,7
Michelle Coleman,7
Felix Auboeck,7
Zagdbazaryn Davaanyam,7
Laura Bechdeju,6
Josefa Idem-guerrini,6
Jos Bustamente,6
Norma Guajardo,6
Martina Moravcov,6
Harold Abrahams,6
Jesse Moore,6
Bae Eun-mi,6
Elena Garca,6
Frangiskos Mavrommatis,6
Thomas Fahrner,6
Olena Kostevych,6
Lenke Almsi,6
Igor Basinsky,6
Elbieta (-kamiska),6
Elia Viviani,6
Giulia Steingruber,6
Jean Jacoby,6
Luisa Blanco,6
Anna Meares,6
Vladimir Andreyev,6
Patrizia Bazzi,6
Paul Colas,6
Natalia Baranovskaya-khatziloizou,6
Shirley Babashoff,6
Carmen Ferracuti,6
Nathan Adrian,6
Natasa Douchev-janics,6
Angela Alberti,6
Ruth Leheimer,6
Anastasia Gorbenko,6
Anastasiia Kirpichnikova,6
Jasna (brajkovi-),6
Leszek Blanik,6
Eila (-helle),6
Wilfried Dietrich,6
Dario Canas,6
Charles Daniels,6
Lucija Hribar,6
Kieran Behan,6
Ole Benediktson,6
Kim Bui,6
Inna Osypenko-radomska,6
Petro Paxnyuk,6
Astrid Beckers,6
Gary Anderson,6
Jossimar Moreo,6
Mirabella Akhunu,6
Iztok Op,6
Amanda (-brown),6
Chen Jing,6
Irene Abel,6
Elisa Balsamo,6
Kosuke Hagino,6
Nstor Sanjun,6
Adem Asil,6
Takuro Fujii,6
