NOC,Sport,NoMedal,HasMedal,Rate
AUS,Cycling BMX Freestyle,2,2,1.0
AUS,Canoe Slalom,6,5,0.9090909090909091
AUS,Sailing,19,12,0.7741935483870968
AUS,Basketball,5,3,0.75
AUS,Swimming,112,58,0.6823529411764706
AUS,Surfing,4,2,0.6666666666666666
AUS,Rowing,27,13,0.65
AUS,Skateboarding,8,3,0.5454545454545454
AUS,Hockey,6,2,0.5
AUS,Water Polo,6,2,0.5
AUS,Marathon Swimming,3,1,0.5
AUS,Cycling Track,20,6,0.46153846153846156
AUS,Cycling Road,7,2,0.4444444444444444
AUS,Equestrian,11,3,0.42857142857142855
AUS,Cycling,30,8,0.42105263157894735
AUS,Canoe Sprint,12,3,0.4
AUS,Cycling BMX Racing,4,1,0.4
AUS,Diving,20,4,0.3333333333333333
AUS,Beach Volleyball,5,1,0.3333333333333333
AUS,Rugby Sevens,5,1,0.3333333333333333
AUS,Modern Pentathlon,6,1,0.2857142857142857
AUS,Canoeing,25,4,0.27586206896551724
AUS,Athletics,131,15,0.2054794520547945
AUS,Tennis,18,2,0.2
AUS,Triathlon,9,1,0.2
AUS,Boxing,28,3,0.1935483870967742
AUS,Archery,11,1,0.16666666666666666
AUS,Equestrianism,11,1,0.16666666666666666
AUS,Shooting,54,2,0.07142857142857142
AUS,Artistic Gymnastics,22,0,0.0
AUS,Judo,19,0,0.0
AUS,Table Tennis,18,0,0.0
AUS,Gymnastics,13,0,0.0
AUS,Taekwondo,13,0,0.0
AUS,Weightlifting,12,0,0.0
AUS,Badminton,11,0,0.0
AUS,Golf,6,0,0.0
AUS,Rhythmic Gymnastics,6,0,0.0
AUS,Wrestling,6,0,0.0
AUS,Artistic Swimming,4,0,0.0
AUS,Football,4,0,0.0
AUS,Sport Climbing,4,0,0.0
AUS,Synchronized Swimming,4,0,0.0
AUS,Cycling Mountain Bike,3,0,0.0
AUS,Trampoline Gymnastics,3,0,0.0
AUS,Breaking,2,0,0.0
AUS,"Marathon Swimming, Swimming",2,0,0.0
AUS,Trampolining,2,0,0.0
AUS,3x3 Basketball,1,0,0.0
AUS,"3x3 Basketball, Basketball",1,0,0.0
AUS,Baseball/Softball,1,0,0.0
AUS,Karate,1,0,0.0
AUS,Volleyball,1,0,0.0
