NOC,Sport,NoMedal,HasMedal,Rate
FRA,Water Polo,3,0,1.0
FRA,Beach Volleyball,2,0,1.0
FRA,"Cycling Road, Cycling Track",2,0,1.0
FRA,Synchronized Swimming,2,0,1.0
FRA,Hockey,2,0,1.0
FRA,Weightlifting,15,0,1.0
FRA,Diving,14,0,1.0
FRA,Badminton,12,0,1.0
FRA,Skateboarding,8,0,1.0
FRA,Golf,6,0,1.0
FRA,Sport Climbing,6,0,1.0
FRA,Marathon Swimming,4,0,1.0
FRA,Rhythmic Gymnastics,4,0,1.0
FRA,Trampoline Gymnastics,4,0,1.0
FRA,Artistic Swimming,3,0,1.0
FRA,Trampolining,3,0,1.0
FRA,Canoe Sprint,15,0,1.0
FRA,Artistic Gymnastics,22,0,1.0
FRA,Gymnastics,24,1,0.9466666666666667
FRA,Wrestling,12,1,0.8974358974358975
FRA,Athletics,127,11,0.893719806763285
FRA,Tennis,18,2,0.8666666666666667
FRA,Shooting,42,6,0.8333333333333334
FRA,Table Tennis,14,2,0.8333333333333334
FRA,Cycling Track,20,3,0.8260869565217391
FRA,Cycling,28,5,0.797979797979798
FRA,Swimming,92,18,0.7818181818181819
FRA,Archery,13,3,0.75
FRA,Cycling Road,8,2,0.7333333333333334
FRA,Football,4,1,0.7333333333333334
FRA,Canoeing,18,5,0.7101449275362319
FRA,Modern Pentathlon,7,2,0.7037037037037037
FRA,Rowing,17,5,0.696969696969697
FRA,Equestrian,10,3,0.6923076923076923
FRA,Sailing,30,9,0.6923076923076923
FRA,Equestrianism,9,3,0.6666666666666667
FRA,Triathlon,8,3,0.6363636363636365
FRA,Canoe Slalom,8,3,0.6363636363636365
FRA,Fencing,32,15,0.574468085106383
FRA,Boxing,19,9,0.5714285714285714
FRA,Cycling BMX Freestyle,2,1,0.5555555555555556
FRA,3x3 Basketball,2,1,0.5555555555555556
FRA,Karate,2,1,0.5555555555555556
FRA,Breaking,2,1,0.5555555555555556
FRA,Cycling Mountain Bike,4,2,0.5555555555555556
FRA,Surfing,4,2,0.5555555555555556
FRA,Rugby Sevens,3,2,0.4666666666666667
FRA,Cycling BMX Racing,4,3,0.4285714285714286
FRA,Volleyball,2,2,0.33333333333333337
FRA,Taekwondo,6,6,0.33333333333333337
FRA,Judo,27,30,0.29824561403508776
FRA,Basketball,3,5,0.16666666666666663
FRA,Handball,2,6,0.0
