NOC,Sport,NoMedal,HasMedal,Rate
JPN,Baseball/Softball,0,2,1.0
JPN,Judo,19,39,0.6724137931034483
JPN,Wrestling,17,31,0.6458333333333334
JPN,Skateboarding,8,9,0.5294117647058824
JPN,Sport Climbing,3,3,0.5
JPN,Synchronized Swimming,2,2,0.5
JPN,Table Tennis,11,10,0.47619047619047616
JPN,Karate,5,3,0.375
JPN,Boxing,9,5,0.35714285714285715
JPN,Surfing,4,2,0.3333333333333333
JPN,Breaking,2,1,0.3333333333333333
JPN,Badminton,17,6,0.2608695652173913
JPN,Golf,6,2,0.25
JPN,Artistic Gymnastics,28,9,0.24324324324324326
JPN,Archery,14,4,0.2222222222222222
JPN,Fencing,27,7,0.20588235294117646
JPN,Gymnastics,24,6,0.2
JPN,Basketball,4,1,0.2
JPN,Swimming,99,22,0.18181818181818182
JPN,Volleyball,5,1,0.16666666666666666
JPN,Weightlifting,18,3,0.14285714285714285
JPN,Football,6,1,0.14285714285714285
JPN,Modern Pentathlon,7,1,0.125
JPN,Equestrian,9,1,0.1
JPN,Canoeing,11,1,0.08333333333333333
JPN,Diving,14,1,0.06666666666666667
JPN,Tennis,15,1,0.0625
JPN,Athletics,105,6,0.05405405405405406
JPN,Cycling Track,19,1,0.05
JPN,Sailing,26,1,0.037037037037037035
JPN,Shooting,38,0,0.0
JPN,Cycling,18,0,0.0
JPN,Canoe Slalom,10,0,0.0
JPN,Rowing,10,0,0.0
JPN,Equestrianism,9,0,0.0
JPN,Triathlon,9,0,0.0
JPN,Taekwondo,7,0,0.0
JPN,Canoe Sprint,6,0,0.0
JPN,Rugby Sevens,6,0,0.0
JPN,Cycling Road,5,0,0.0
JPN,Hockey,5,0,0.0
JPN,Rhythmic Gymnastics,5,0,0.0
JPN,Artistic Swimming,4,0,0.0
JPN,Beach Volleyball,4,0,0.0
JPN,Marathon Swimming,4,0,0.0
JPN,Trampoline Gymnastics,4,0,0.0
JPN,Trampolining,4,0,0.0
JPN,Water Polo,4,0,0.0
JPN,Cycling BMX Freestyle,3,0,0.0
JPN,Cycling BMX Racing,3,0,0.0
JPN,Cycling Mountain Bike,3,0,0.0
JPN,Handball,3,0,0.0
JPN,3x3 Basketball,2,0,0.0
