Year,NOC,strong_point,hhi,award_rate,host,participate_num,history_performance
1896,AFG,0,0.0,0.0,GRE,0,0.0
1900,AFG,0,0.0,0.0,FRA,0,0.0
1904,AFG,0,0.0,0.0,USA,0,0.0
1908,AFG,0,0.0,0.0,GBR,0,0.0
1912,AFG,0,0.0,0.0,SWE,0,0.0
1920,AFG,0,0.0,0.0,BEL,0,0.0
1924,AFG,0,0.0,0.0,FRA,0,0.0
1928,AFG,0,0.0,0.0,NED,0,0.0
1932,AFG,0,0.0,0.0,USA,0,0.0
1936,AFG,0,0.0,0.0,GER,15,0.0
1948,AFG,0,0.0,0.0,GBR,22,0.0
1952,AFG,0,0.0,0.0,FIN,0,0.0
1956,AFG,0,0.0,0.0,AUS,12,0.0
1960,AFG,0,0.0,0.0,ITA,12,0.0
1964,AFG,0,0.0,0.0,JPN,8,0.0
1968,AFG,0,0.0,0.0,MEX,5,0.0
1972,AFG,0,0.0,0.0,FRG,8,0.0
1976,AFG,0,0.0,0.0,CAN,0,0.0
1980,AFG,0,0.0,0.0,URS,11,0.0
1984,AFG,0,0.0,0.0,USA,0,0.0
1988,AFG,0,0.0,0.0,KOR,5,0.0
1992,AFG,0,0.0,0.0,ESP,0,0.0
1996,AFG,0,0.0,0.0,USA,2,0.0
2000,AFG,0,0.0,0.0,AUS,0,0.0
2004,AFG,0,0.0,0.0,GRE,5,0.0
2008,AFG,1,1.0,0.25,CHN,4,0.3333333333333333
2012,AFG,1,1.0,0.16666666666666666,GBR,6,0.6666666666666666
2016,AFG,1,0.0,0.0,BRA,3,0.6666666666666666
2020,AFG,1,0.0,0.0,JPN,5,0.3333333333333333
2024,AFG,1,0.0,0.0,FRA,6,0.0
1896,AHO,0,0.0,0.0,GRE,0,0.0
1900,AHO,0,0.0,0.0,FRA,0,0.0
1904,AHO,0,0.0,0.0,USA,0,0.0
1908,AHO,0,0.0,0.0,GBR,0,0.0
1912,AHO,0,0.0,0.0,SWE,0,0.0
1920,AHO,0,0.0,0.0,BEL,0,0.0
1924,AHO,0,0.0,0.0,FRA,0,0.0
1928,AHO,0,0.0,0.0,NED,0,0.0
1932,AHO,0,0.0,0.0,USA,0,0.0
1936,AHO,0,0.0,0.0,GER,0,0.0
1948,AHO,0,0.0,0.0,GBR,0,0.0
1952,AHO,0,0.0,0.0,FIN,11,0.0
1956,AHO,0,0.0,0.0,AUS,0,0.0
1960,AHO,0,0.0,0.0,ITA,5,0.0
1964,AHO,0,0.0,0.0,JPN,4,0.0
1968,AHO,0,0.0,0.0,MEX,5,0.0
1972,AHO,0,0.0,0.0,FRG,2,0.0
1976,AHO,0,0.0,0.0,CAN,4,0.0
1980,AHO,0,0.0,0.0,URS,0,0.0
1984,AHO,0,0.0,0.0,USA,8,0.0
1988,AHO,1,1.0,0.3333333333333333,KOR,3,0.3333333333333333
1992,AHO,1,0.0,0.0,ESP,4,0.3333333333333333
1996,AHO,1,0.0,0.0,USA,6,0.3333333333333333
2000,AHO,1,0.0,0.0,AUS,7,0.0
2004,AHO,1,0.0,0.0,GRE,3,0.0
2008,AHO,1,0.0,0.0,CHN,3,0.0
2012,AHO,1,0.0,0.0,GBR,0,0.0
2016,AHO,1,0.0,0.0,BRA,0,0.0
2020,AHO,1,0.0,0.0,JPN,0,0.0
2024,AHO,1,0.0,0.0,FRA,0,0.0
1896,AIN,0,0.0,0.0,GRE,0,0.0
1900,AIN,0,0.0,0.0,FRA,0,0.0
1904,AIN,0,0.0,0.0,USA,0,0.0
1908,AIN,0,0.0,0.0,GBR,0,0.0
1912,AIN,0,0.0,0.0,SWE,0,0.0
1920,AIN,0,0.0,0.0,BEL,0,0.0
1924,AIN,0,0.0,0.0,FRA,0,0.0
1928,AIN,0,0.0,0.0,NED,0,0.0
1932,AIN,0,0.0,0.0,USA,0,0.0
1936,AIN,0,0.0,0.0,GER,0,0.0
1948,AIN,0,0.0,0.0,GBR,0,0.0
1952,AIN,0,0.0,0.0,FIN,0,0.0
1956,AIN,0,0.0,0.0,AUS,0,0.0
1960,AIN,0,0.0,0.0,ITA,0,0.0
1964,AIN,0,0.0,0.0,JPN,0,0.0
1968,AIN,0,0.0,0.0,MEX,0,0.0
1972,AIN,0,0.0,0.0,FRG,0,0.0
1976,AIN,0,0.0,0.0,CAN,0,0.0
1980,AIN,0,0.0,0.0,URS,0,0.0
1984,AIN,0,0.0,0.0,USA,0,0.0
1988,AIN,0,0.0,0.0,KOR,0,0.0
